timestamp,totalOut,totalServed,outageCount,BERLIN,CANAAN,CHESTER,CLARK_CC,CLARK_HC,CLINTON,CONGRESS,EAST_UNION,FRANKLIN,GREEN,HANOVER,HARDY,JACKSON,JEFFERSON,KILLBUCK,KNOX,LAKE,MECHANIC,MILTON,MOHICAN,MONROE_CC,MONROE_HC,NEW_CASTLE,PAINT_HC,PAINT_WC,PERRY,PLAIN,PRAIRIE,RICHLAND,RIPLEY,SALT_CREEK_HC,SALT_CREEK_WC,SUGARCREEK_SC,TIVERTON,UNION,WALNUT_CREEK,WASHINGTON,WAYNE_TC,WAYNE_WC,WOOSTER
2026-04-03T03-43-26Z,0,18151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-03T04-01-56Z,0,18151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-03T05-19-27Z,0,18151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
